timestamp,generation,median,win_rate,max,min,bust_rate,mean,sd,seed,filename
20250812_224812,1,9.00,0.0280,243,0,0.3924,11.2980,16.2948,43,gen001_med9.00_win02_max243_min0_20250812_224812.json
20250812_224833,2,9.00,0.0260,324,0,0.4356,11.3220,23.4357,44,gen002_med9.00_win02_max324_min0_20250812_224833.json
20250812_224855,3,9.00,0.0380,243,0,0.4296,12.2900,18.6059,45,gen003_med9.00_win03_max243_min0_20250812_224855.json
20250812_224917,4,9.00,0.0400,324,0,0.4312,13.6680,28.6867,46,gen004_med9.00_win04_max324_min0_20250812_224917.json
20250812_224938,5,9.00,0.0300,324,0,0.4320,13.4420,30.1346,47,gen005_med9.00_win03_max324_min0_20250812_224938.json
20250812_225000,6,9.00,0.0360,243,0,0.4408,12.3980,23.0681,48,gen006_med9.00_win03_max243_min0_20250812_225000.json
20250812_225021,7,12.00,0.0320,324,0,0.5152,13.6380,24.3855,49,gen007_med12.00_win03_max324_min0_20250812_225021.json
20250812_225042,8,9.00,0.0240,243,0,0.4340,12.1560,22.5923,50,gen008_med9.00_win02_max243_min0_20250812_225042.json
20250812_225103,9,12.00,0.0360,243,0,0.4796,13.6300,20.4914,51,gen009_med12.00_win03_max243_min0_20250812_225103.json
20250812_225125,10,9.00,0.0320,324,0,0.4732,14.2220,30.2437,52,gen010_med9.00_win03_max324_min0_20250812_225125.json
20250812_230042,1,9.00,0.0500,324,0,0.5428,11.8360,22.9009,43,gen001_med9.00_win05_max324_min0_20250812_230042.json
20250812_230117,2,9.00,0.0320,243,0,0.4320,10.9320,16.1034,44,gen002_med9.00_win03_max243_min0_20250812_230117.json
20250812_230145,3,9.00,0.0300,243,0,0.4344,11.4060,18.5113,45,gen003_med9.00_win03_max243_min0_20250812_230145.json
20250812_230214,4,9.00,0.0200,243,0,0.3860,10.2040,14.5413,46,gen004_med9.00_win02_max243_min0_20250812_230214.json
20250812_230247,5,9.00,0.0280,243,0,0.4364,11.2200,16.6894,47,gen005_med9.00_win02_max243_min0_20250812_230247.json
20250812_230321,6,9.00,0.0280,324,0,0.4268,11.4260,20.2184,48,gen006_med9.00_win02_max324_min0_20250812_230321.json
20250812_230347,7,9.00,0.0360,243,0,0.4100,12.7240,19.8279,49,gen007_med9.00_win03_max243_min0_20250812_230347.json
20250812_230410,8,9.00,0.0360,243,0,0.4232,13.3440,24.1308,50,gen008_med9.00_win03_max243_min0_20250812_230410.json
20250812_230435,9,9.00,0.0200,243,0,0.4040,12.2800,19.4198,51,gen009_med9.00_win02_max243_min0_20250812_230435.json
20250812_230507,10,9.00,0.0300,324,0,0.4364,12.7860,23.2523,52,gen010_med9.00_win03_max324_min0_20250812_230507.json
20250812_230530,11,9.00,0.0300,324,0,0.4364,13.7580,33.6378,53,gen011_med9.00_win03_max324_min0_20250812_230530.json
20250812_230600,12,9.00,0.0260,243,0,0.3948,11.9800,18.3596,54,gen012_med9.00_win02_max243_min0_20250812_230600.json
20250812_230623,13,9.00,0.0280,432,0,0.4400,11.8960,24.7744,55,gen013_med9.00_win02_max432_min0_20250812_230623.json
20250812_230649,14,12.00,0.0160,148,0,0.5112,12.3780,16.0989,56,gen014_med12.00_win01_max148_min0_20250812_230649.json
20250812_230712,15,12.00,0.0120,112,0,0.5116,11.5760,12.4509,57,gen015_med12.00_win01_max112_min0_20250812_230712.json
20250812_230736,16,12.00,0.0180,324,0,0.5244,13.2000,27.7121,58,gen016_med12.00_win01_max324_min0_20250812_230736.json
20250812_231018,1,9.00,0.0360,84,0,0.4280,9.9960,10.5700,43,gen001_med9.00_win03_max84_min0_20250812_231018.json
